,label,source,path
0,neutral,RAVDE,C:\Users\Jagjeet\AppML\Major Project Final\Pro_1.91_attention_3_Models_with_Aug\Audio_Speech_Actors_01-24/Actor_01/03-01-01-01-01-01-01.wav
1,neutral,RAVDE,C:\Users\Jagjeet\AppML\Major Project Final\Pro_1.91_attention_3_Models_with_Aug\Audio_Speech_Actors_01-24/Actor_01/03-01-01-01-01-02-01.wav
2,neutral,RAVDE,C:\Users\Jagjeet\AppML\Major Project Final\Pro_1.91_attention_3_Models_with_Aug\Audio_Speech_Actors_01-24/Actor_01/03-01-01-01-02-01-01.wav
3,neutral,RAVDE,C:\Users\Jagjeet\AppML\Major Project Final\Pro_1.91_attention_3_Models_with_Aug\Audio_Speech_Actors_01-24/Actor_01/03-01-01-01-02-02-01.wav
4,calm,RAVDE,C:\Users\Jagjeet\AppML\Major Project Final\Pro_1.91_attention_3_Models_with_Aug\Audio_Speech_Actors_01-24/Actor_01/03-01-02-01-01-01-01.wav
5,calm,RAVDE,C:\Users\Jagjeet\AppML\Major Project Final\Pro_1.91_attention_3_Models_with_Aug\Audio_Speech_Actors_01-24/Actor_01/03-01-02-01-01-02-01.wav
6,calm,RAVDE,C:\Users\Jagjeet\AppML\Major Project Final\Pro_1.91_attention_3_Models_with_Aug\Audio_Speech_Actors_01-24/Actor_01/03-01-02-01-02-01-01.wav
7,calm,RAVDE,C:\Users\Jagjeet\AppML\Major Project Final\Pro_1.91_attention_3_Models_with_Aug\Audio_Speech_Actors_01-24/Actor_01/03-01-02-01-02-02-01.wav
8,calm,RAVDE,C:\Users\Jagjeet\AppML\Major Project Final\Pro_1.91_attention_3_Models_with_Aug\Audio_Speech_Actors_01-24/Actor_01/03-01-02-02-01-01-01.wav
9,calm,RAVDE,C:\Users\Jagjeet\AppML\Major Project Final\Pro_1.91_attention_3_Models_with_Aug\Audio_Speech_Actors_01-24/Actor_01/03-01-02-02-01-02-01.wav
10,calm,RAVDE,C:\Users\Jagjeet\AppML\Major Project Final\Pro_1.91_attention_3_Models_with_Aug\Audio_Speech_Actors_01-24/Actor_01/03-01-02-02-02-01-01.wav
11,calm,RAVDE,C:\Users\Jagjeet\AppML\Major Project Final\Pro_1.91_attention_3_Models_with_Aug\Audio_Speech_Actors_01-24/Actor_01/03-01-02-02-02-02-01.wav
12,happy,RAVDE,C:\Users\Jagjeet\AppML\Major Project Final\Pro_1.91_attention_3_Models_with_Aug\Audio_Speech_Actors_01-24/Actor_01/03-01-03-01-01-01-01.wav
13,happy,RAVDE,C:\Users\Jagjeet\AppML\Major Project Final\Pro_1.91_attention_3_Models_with_Aug\Audio_Speech_Actors_01-24/Actor_01/03-01-03-01-01-02-01.wav
14,happy,RAVDE,C:\Users\Jagjeet\AppML\Major Project Final\Pro_1.91_attention_3_Models_with_Aug\Audio_Speech_Actors_01-24/Actor_01/03-01-03-01-02-01-01.wav
15,happy,RAVDE,C:\Users\Jagjeet\AppML\Major Project Final\Pro_1.91_attention_3_Models_with_Aug\Audio_Speech_Actors_01-24/Actor_01/03-01-03-01-02-02-01.wav
16,happy,RAVDE,C:\Users\Jagjeet\AppML\Major Project Final\Pro_1.91_attention_3_Models_with_Aug\Audio_Speech_Actors_01-24/Actor_01/03-01-03-02-01-01-01.wav
17,happy,RAVDE,C:\Users\Jagjeet\AppML\Major Project Final\Pro_1.91_attention_3_Models_with_Aug\Audio_Speech_Actors_01-24/Actor_01/03-01-03-02-01-02-01.wav
18,happy,RAVDE,C:\Users\Jagjeet\AppML\Major Project Final\Pro_1.91_attention_3_Models_with_Aug\Audio_Speech_Actors_01-24/Actor_01/03-01-03-02-02-01-01.wav
19,happy,RAVDE,C:\Users\Jagjeet\AppML\Major Project Final\Pro_1.91_attention_3_Models_with_Aug\Audio_Speech_Actors_01-24/Actor_01/03-01-03-02-02-02-01.wav
20,sad,RAVDE,C:\Users\Jagjeet\AppML\Major Project Final\Pro_1.91_attention_3_Models_with_Aug\Audio_Speech_Actors_01-24/Actor_01/03-01-04-01-01-01-01.wav
21,sad,RAVDE,C:\Users\Jagjeet\AppML\Major Project Final\Pro_1.91_attention_3_Models_with_Aug\Audio_Speech_Actors_01-24/Actor_01/03-01-04-01-01-02-01.wav
22,sad,RAVDE,C:\Users\Jagjeet\AppML\Major Project Final\Pro_1.91_attention_3_Models_with_Aug\Audio_Speech_Actors_01-24/Actor_01/03-01-04-01-02-01-01.wav
23,sad,RAVDE,C:\Users\Jagjeet\AppML\Major Project Final\Pro_1.91_attention_3_Models_with_Aug\Audio_Speech_Actors_01-24/Actor_01/03-01-04-01-02-02-01.wav
24,sad,RAVDE,C:\Users\Jagjeet\AppML\Major Project Final\Pro_1.91_attention_3_Models_with_Aug\Audio_Speech_Actors_01-24/Actor_01/03-01-04-02-01-01-01.wav
25,sad,RAVDE,C:\Users\Jagjeet\AppML\Major Project Final\Pro_1.91_attention_3_Models_with_Aug\Audio_Speech_Actors_01-24/Actor_01/03-01-04-02-01-02-01.wav
26,sad,RAVDE,C:\Users\Jagjeet\AppML\Major Project Final\Pro_1.91_attention_3_Models_with_Aug\Audio_Speech_Actors_01-24/Actor_01/03-01-04-02-02-01-01.wav
27,sad,RAVDE,C:\Users\Jagjeet\AppML\Major Project Final\Pro_1.91_attention_3_Models_with_Aug\Audio_Speech_Actors_01-24/Actor_01/03-01-04-02-02-02-01.wav
28,angry,RAVDE,C:\Users\Jagjeet\AppML\Major Project Final\Pro_1.91_attention_3_Models_with_Aug\Audio_Speech_Actors_01-24/Actor_01/03-01-05-01-01-01-01.wav
29,angry,RAVDE,C:\Users\Jagjeet\AppML\Major Project Final\Pro_1.91_attention_3_Models_with_Aug\Audio_Speech_Actors_01-24/Actor_01/03-01-05-01-01-02-01.wav
30,angry,RAVDE,C:\Users\Jagjeet\AppML\Major Project Final\Pro_1.91_attention_3_Models_with_Aug\Audio_Speech_Actors_01-24/Actor_01/03-01-05-01-02-01-01.wav
31,angry,RAVDE,C:\Users\Jagjeet\AppML\Major Project Final\Pro_1.91_attention_3_Models_with_Aug\Audio_Speech_Actors_01-24/Actor_01/03-01-05-01-02-02-01.wav
32,angry,RAVDE,C:\Users\Jagjeet\AppML\Major Project Final\Pro_1.91_attention_3_Models_with_Aug\Audio_Speech_Actors_01-24/Actor_01/03-01-05-02-01-01-01.wav
33,angry,RAVDE,C:\Users\Jagjeet\AppML\Major Project Final\Pro_1.91_attention_3_Models_with_Aug\Audio_Speech_Actors_01-24/Actor_01/03-01-05-02-01-02-01.wav
34,angry,RAVDE,C:\Users\Jagjeet\AppML\Major Project Final\Pro_1.91_attention_3_Models_with_Aug\Audio_Speech_Actors_01-24/Actor_01/03-01-05-02-02-01-01.wav
35,angry,RAVDE,C:\Users\Jagjeet\AppML\Major Project Final\Pro_1.91_attention_3_Models_with_Aug\Audio_Speech_Actors_01-24/Actor_01/03-01-05-02-02-02-01.wav
36,fear,RAVDE,C:\Users\Jagjeet\AppML\Major Project Final\Pro_1.91_attention_3_Models_with_Aug\Audio_Speech_Actors_01-24/Actor_01/03-01-06-01-01-01-01.wav
37,fear,RAVDE,C:\Users\Jagjeet\AppML\Major Project Final\Pro_1.91_attention_3_Models_with_Aug\Audio_Speech_Actors_01-24/Actor_01/03-01-06-01-01-02-01.wav
38,fear,RAVDE,C:\Users\Jagjeet\AppML\Major Project Final\Pro_1.91_attention_3_Models_with_Aug\Audio_Speech_Actors_01-24/Actor_01/03-01-06-01-02-01-01.wav
39,fear,RAVDE,C:\Users\Jagjeet\AppML\Major Project Final\Pro_1.91_attention_3_Models_with_Aug\Audio_Speech_Actors_01-24/Actor_01/03-01-06-01-02-02-01.wav
